dien_tich_m2,so_phong_ngu,khoang_cach_tt_km,mat_tien,gia_ty_vnd
74.9,1,3.87,0,3.55
144.1,2,5.74,0,5.92
117.8,2,4.01,0,4.86
101.8,3,2.51,0,5.63
48.7,3,3.05,0,1.81
48.7,4,8.83,1,1.92
37.0,2,4.51,1,2.73
133.9,2,7.19,0,5.03
102.1,3,9.56,0,3.22
115.0,2,12.74,0,3.67
32.5,2,1.67,0,1.76
146.4,1,14.59,0,3.99
129.9,1,11.67,0,3.48
55.5,4,2.39,0,3.42
51.8,3,15.85,0,0.8
52.0,3,16.65,0,0.8
66.5,2,2.04,0,3.86
93.0,1,5.71,1,4.18
81.8,1,14.71,1,1.87
64.9,2,13.72,0,0.8
103.4,2,4.14,1,5.59
46.7,3,4.56,0,2.13
65.1,3,7.3,1,3.47
74.0,2,9.24,1,3.51
84.7,4,11.51,0,2.24
124.2,3,7.27,0,5.61
54.0,2,8.86,0,1.3
91.7,3,13.71,0,2.86
101.1,2,1.62,0,4.89
35.6,2,5.29,0,1.33
102.9,2,13.13,0,3.0
50.5,3,16.22,1,1.48
37.8,1,9.7,1,1.66
143.9,1,10.05,0,5.45
145.9,1,2.82,0,6.39
127.0,1,8.61,0,4.7
66.6,3,10.05,0,1.9
41.7,3,5.12,1,3.48
112.1,2,5.58,0,4.27
82.8,1,7.41,0,3.36
44.6,2,1.34,0,2.25
89.4,2,6.48,0,2.78
34.1,1,4.59,1,2.21
139.1,2,6.57,1,6.5
61.1,2,3.04,0,3.04
109.5,3,16.14,0,2.51
67.4,3,11.09,0,1.61
92.4,1,12.54,1,2.59
95.6,2,14.42,1,3.23
52.2,3,9.47,0,0.8
146.4,2,2.48,0,6.01
123.0,3,10.13,1,5.97
142.7,3,10.98,0,5.51
137.4,1,13.67,1,5.34
101.7,1,8.34,0,2.94
140.6,3,3.17,0,6.49
40.6,1,5.82,0,1.03
53.5,2,7.17,0,1.15
35.4,4,11.98,0,1.04
69.0,2,10.7,1,3.23
76.6,2,7.05,0,2.59
62.6,3,17.77,0,0.8
129.4,2,11.3,0,4.37
72.8,2,5.03,0,2.05
63.7,4,2.73,0,3.28
95.1,2,3.6,0,3.86
46.9,4,5.18,1,2.98
126.3,4,3.73,0,5.9
38.9,1,4.17,0,1.97
148.4,1,5.85,0,6.13
122.7,1,3.95,1,6.03
53.8,1,16.25,1,1.18
30.7,1,2.36,1,2.97
127.9,3,9.92,0,5.09
114.8,1,7.98,0,4.0
117.5,2,17.7,0,2.34
122.6,3,2.9,0,6.02
38.9,1,7.76,0,0.8
73.0,3,17.48,0,1.25
43.9,2,15.71,0,0.8
133.6,1,14.89,0,4.0
104.8,3,5.38,1,5.48
69.7,3,3.91,0,3.71
37.6,3,12.37,0,0.8
67.3,3,16.8,1,2.78
69.0,3,10.46,0,1.7
117.6,2,10.72,1,5.76
106.5,1,5.76,0,4.08
136.5,3,14.08,0,4.1
86.7,3,4.18,1,4.91
44.4,4,6.5,1,2.9
115.6,2,8.23,1,5.59
121.3,2,9.63,0,4.43
97.4,3,5.12,0,3.98
122.5,2,2.95,0,5.47
89.3,4,11.38,0,3.83
92.7,3,5.91,1,5.75
81.3,2,10.88,0,2.37
33.1,3,3.62,1,2.8
42.9,3,9.18,0,1.08
33.8,1,10.05,0,0.8
106.4,4,1.88,0,5.04
67.7,2,6.72,1,3.43
91.0,3,3.29,1,4.79
138.9,2,2.08,1,7.74
59.9,3,17.83,1,1.69
79.2,2,6.48,1,3.9
120.7,1,14.77,1,4.85
57.5,4,5.33,0,2.14
39.2,1,12.59,0,0.8
64.8,2,13.92,0,1.0
49.3,4,11.13,1,2.83
141.6,4,9.02,1,7.62
127.0,2,8.0,0,4.59
106.0,3,6.93,1,5.9
134.6,2,16.8,1,4.72
126.4,2,15.12,0,3.4
52.4,2,17.41,0,0.8
137.1,3,3.11,1,7.82
94.7,3,13.42,0,1.97
126.9,3,16.95,1,5.2
137.5,3,4.08,0,6.76
68.2,1,2.13,1,3.89
43.2,2,13.6,1,1.35
57.4,1,10.77,1,2.29
81.3,2,15.31,0,1.51
128.2,2,3.38,1,6.64
133.3,3,14.52,1,5.07
30.8,2,4.43,0,1.08
91.3,1,3.78,1,5.35
80.1,1,3.79,0,3.39
56.7,3,14.85,0,0.8
44.4,3,12.31,0,0.84
70.5,1,9.89,0,0.8
143.1,1,7.1,0,5.87
68.8,3,15.91,1,1.49
92.3,1,7.67,0,2.88
114.4,3,14.88,1,3.97
73.6,3,8.47,0,2.02
146.6,1,7.41,0,5.98
145.5,1,8.87,0,5.01
60.2,4,6.12,1,3.95
89.7,2,13.71,0,2.05
66.1,2,9.55,0,1.95
64.2,3,4.95,1,3.98
34.4,4,16.29,0,0.8
103.1,4,7.53,0,4.68
90.3,3,10.24,0,2.77
36.2,2,16.41,1,0.8
63.4,1,11.61,0,0.84
139.0,3,2.99,1,8.27
58.7,2,16.98,0,0.8
47.4,2,11.67,1,1.59
88.7,4,6.69,1,4.85
148.3,1,3.37,1,7.39
59.0,2,14.5,0,1.38
110.7,1,11.54,1,4.51
121.4,2,10.07,0,4.32
58.5,1,16.2,0,0.8
117.4,1,14.41,0,3.03
74.1,1,3.58,1,4.04
105.9,3,6.3,1,5.5
106.0,3,5.22,1,5.75
94.3,2,13.65,0,2.27
40.8,4,1.57,0,2.84
130.2,2,10.69,1,5.66
68.5,2,13.96,0,1.36
52.4,3,15.91,0,0.8
34.9,2,6.82,0,0.87
100.9,4,14.96,0,2.05
111.3,1,2.88,0,5.11
32.0,4,15.39,0,0.8
91.5,1,3.17,0,4.2
57.2,3,7.75,0,0.8
107.4,2,14.55,1,4.75
50.9,4,3.55,0,2.6
112.9,1,4.9,0,4.89
76.4,2,13.28,1,2.33
142.4,4,13.24,0,5.27
46.5,2,11.9,1,1.23
70.9,3,12.8,1,2.59
43.6,3,10.23,0,1.64
141.0,2,5.28,0,5.82
135.3,3,6.88,1,6.89
61.0,2,4.09,1,4.06
109.2,4,16.44,0,3.15
128.1,1,10.92,0,4.11
96.6,2,7.81,0,3.59
93.6,4,8.85,1,5.78
59.0,3,17.1,0,0.8
41.2,2,3.61,1,2.98
137.7,3,10.97,0,5.39
138.1,2,9.6,0,5.43
106.0,1,11.39,0,3.44
70.7,2,1.31,0,3.7
71.9,2,15.83,0,0.8
117.1,2,16.85,0,3.39
137.7,1,10.61,0,4.08
136.5,4,12.84,1,6.15
123.6,4,16.68,0,3.26
107.0,3,13.02,0,3.2
40.1,2,3.59,1,2.99
49.4,2,10.8,1,2.11
137.8,3,11.31,1,6.28
102.8,3,8.21,1,5.74
31.1,1,13.52,0,0.8
42.2,4,16.88,0,0.8
109.6,3,16.73,1,4.26
30.6,4,8.66,1,2.49
49.3,3,2.93,0,1.95
95.8,3,17.74,1,3.31
113.0,2,15.26,0,3.12
108.2,4,3.12,0,5.19
56.9,3,16.65,0,0.86
115.5,1,15.79,0,2.55
58.5,1,9.82,0,1.17
69.0,2,11.05,0,1.55
119.6,3,7.78,1,5.94
108.0,4,1.93,0,5.07
131.9,1,6.7,0,4.4
108.9,2,14.65,1,4.6
98.2,2,1.08,1,5.59
41.2,4,6.67,1,2.46
74.1,3,7.77,1,3.02
61.8,3,10.14,1,2.65
59.3,2,16.64,0,0.8
146.8,2,6.89,0,6.52
77.2,2,6.9,0,3.14
137.0,1,13.54,0,3.7
105.7,3,8.69,0,4.84
125.4,3,4.82,1,7.12
90.3,4,8.69,0,3.37
99.2,4,3.39,0,3.85
89.1,2,4.0,0,4.71
53.4,3,9.47,1,2.09
116.7,4,8.12,0,4.13
63.7,3,16.55,1,2.25
32.9,2,7.16,0,1.67
107.5,2,10.87,0,3.93
51.3,1,11.75,0,0.8
142.9,4,1.22,1,8.65
144.5,3,12.28,0,5.38
139.8,2,4.03,1,7.57
74.4,3,17.34,0,1.09
31.9,3,3.53,0,1.59
141.4,2,8.05,1,6.59
81.4,1,2.45,1,4.37
146.0,3,17.95,1,5.18
145.6,2,9.54,1,5.86
132.4,3,11.12,1,5.87
65.3,2,2.14,1,3.86
76.2,3,13.75,1,2.46
132.1,2,4.57,1,6.89
68.0,2,16.27,1,2.39
50.3,3,4.49,0,2.57
96.8,2,4.24,1,4.66
142.3,1,1.62,0,5.97
113.5,1,9.03,1,5.31
98.4,3,10.6,1,4.08
41.7,3,2.12,0,2.16
103.8,3,14.18,1,4.29
148.8,2,8.71,0,5.24
46.8,1,9.91,0,0.8
92.2,1,8.49,1,3.54
135.3,2,7.81,0,4.94
118.9,2,10.51,1,5.29
113.6,2,3.64,1,5.52
114.3,2,4.09,0,5.08
73.1,4,15.65,0,1.46
65.2,2,17.08,0,0.8
127.1,2,7.35,0,4.99
127.2,3,5.6,1,7.21
134.0,2,11.95,0,4.43
139.6,3,7.95,0,5.43
91.4,3,1.43,0,4.65
90.2,4,3.65,0,4.62
125.8,1,13.17,1,4.76
108.0,4,12.2,0,3.68
114.2,2,1.46,1,6.3
125.5,2,4.77,0,5.02
136.8,2,4.93,1,6.41
70.6,4,12.42,0,2.64
75.1,2,1.34,0,3.14
41.3,2,2.77,1,2.78
99.4,3,14.6,0,2.31
34.3,2,4.04,1,2.87
85.9,1,12.1,1,3.02
95.1,1,5.05,0,4.12
64.4,1,2.69,0,2.39
100.9,1,5.13,1,5.18
33.7,1,13.28,0,0.8
34.5,3,15.55,0,0.8
128.7,1,15.11,0,2.85
73.2,2,7.75,0,2.52
45.2,3,12.36,0,0.81
92.7,2,4.48,1,5.23
122.4,3,5.98,1,6.31
55.9,1,16.24,1,0.99
104.7,1,1.22,1,5.96
40.2,1,2.45,0,1.56
